layer,head,normal_score,zero_ablated_score,zero_effect,zero_effect_std,mean_ablated_score,mean_effect,mean_effect_std
5,5,2.54108212351799,2.096519763469696,0.4445623600482941,0.3214645262685617,2.4329243779182432,0.10815774559974671,0.23531724067017165
5,0,2.54108212351799,2.3006985223293306,0.24038360118865967,0.1605850863043898,2.490581747293472,0.05050037622451782,0.14130755044759297
10,0,2.54108212351799,2.3144197523593903,0.22666237115859986,0.13327616642693202,2.312761126756668,0.22832099676132203,0.13869842699651178
5,1,2.54108212351799,2.3261863243579866,0.21489579916000368,0.3857918603775981,2.1698387444019316,0.37124337911605837,0.36864160877867413
7,2,2.54108212351799,2.334007661342621,0.20707446217536926,0.13854344090267534,2.3155575239658357,0.22552459955215454,0.1374180313312407
6,9,2.54108212351799,2.349614921808243,0.19146720170974732,0.3065125839664885,2.3109351027011873,0.23014702081680297,0.27861853045396734
10,6,2.54108212351799,2.3993248784542085,0.14175724506378173,0.09220599149128787,2.387893352508545,0.1531887710094452,0.09846858863212152
10,10,2.54108212351799,2.4224627900123594,0.11861933350563049,0.06731473915362526,2.4609813833236696,0.08010074019432067,0.06945432649903141
9,6,2.54108212351799,2.4360277640819548,0.10505435943603515,0.13282144627460257,2.510762939453125,0.030319184064865112,0.12682154411123106
11,9,2.54108212351799,2.4502071738243103,0.0908749496936798,0.10846326281226167,2.300212330818176,0.24086979269981384,0.0984843104853354
10,11,2.54108212351799,2.459544723033905,0.08153740048408509,0.07800875139154055,2.4307732808589937,0.11030884265899658,0.07865966546992843
8,6,2.54108212351799,2.4688851296901704,0.07219699382781983,0.10130713375889172,2.454205710887909,0.08687641263008118,0.09829854497062619
8,1,2.54108212351799,2.4864485204219817,0.0546336030960083,0.10684258608802691,2.423595577478409,0.1174865460395813,0.09756984935650095
9,0,2.54108212351799,2.506430766582489,0.0346513569355011,0.044448371423676636,2.53499849319458,0.0060836303234100345,0.0421030868521764
10,1,2.54108212351799,2.5215613722801207,0.019520751237869262,0.1355450744635703,2.3388703072071078,0.20221181631088256,0.14971759786397026
9,9,2.54108212351799,2.545858633518219,-0.0047765100002288815,0.10858766141543187,2.4966775965690613,0.04440452694892883,0.1015889543146186
5,8,2.54108212351799,2.6632266521453856,-0.12214452862739562,0.1369186863902076,2.8101363909244537,-0.2690542674064636,0.1574196448494015
7,10,2.54108212351799,2.695731310844421,-0.15464918732643126,0.18162547322000425,2.6464998936653137,-0.1054177701473236,0.15303086614773706
11,10,2.54108212351799,2.834412828683853,-0.293330705165863,0.13128091728095023,2.8511071681976317,-0.3100250446796417,0.1288103504781867
10,7,2.54108212351799,2.862110435962677,-0.3210283124446869,0.16816101096620933,3.035734077692032,-0.49465195417404173,0.17803774310573123
